portNumber,portName,regionNumber,regionName,countryCode,countryName,latitude,longitude,publicationNumber,chartNumber,navArea,harborSize,harborType,shelter,erTide,erSwell,erIce,erOther,overheadLimits,chDepth,anDepth,cpDepth,otDepth,tide,maxVesselLength,maxVesselBeam,maxVesselDraft,goodHoldingGround,turningArea,firstPortOfEntry,usRep,ptCompulsory,ptAvailable,ptLocalAssist,ptAdvisable,tugsSalvage,tugsAssist,qtPratique,qtOther,cmTelephone,cmTelegraph,cmRadio,cmRadioTel,cmAir,cmRail,loWharves,loAnchor,loMedMoor,loBeachMoor,loIceMoor,medFacilities,garbageDisposal,degauss,dirtyBallast,crFixed,crMobile,crFloating,lifts100,lifts50,lifts25,lifts0,srLongshore,srElectrical,srSteam,srNavigEquip,srElectRepair,suProvisions,suWater,suFuel,suDiesel,suDeck,suEngine,repairCode,drydock,railway,qtSanitation,suAviationFuel,harborUse,ukcMgmtSystem,portSecurity,etaMessage,searchAndRescue,tss,vts,cht,globalId,loRoro,loSolidBulk,loContainer,loBreakBulk,loOilTerm,loLongTerm,loOther,loDangCargo,loLiquidBulk,srIceBreaking,srDiving,cranesContainer,unloCode,dnc,s121WaterBody,s57Enc,s101Enc,dodWaterBody,alternateName,entranceWidth,lngTerminalDepth,offMaxVesselLength,offMaxVesselBeam,offMaxVesselDraft,
50730,Belawan,50515,SUMATERA,ID,Indonesia,"3°47'00""N","98°41'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,71295,XI,M,RN,G,N,N,N,Y,N,8,8,9,5,2,,,,Y,Y,Y,N,Y,,,Y,U,Y,U,Y,U,U,Y,U,Y,Y,Y,Y,U,U,U,Y,U,U,N,Y,Y,Y,U,U,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,C,S,U,Y,U,UNK,U,U,Y,U,U,U,U,{D3CE0A3C-BC16-4BBD-B3A8-80D99B207C8E},U,U,U,U,U,U,U,U,U,U,U,U,ID BLW,"a0350730, coa03c, gen03c, h0350730",,,,Strait of Malacca; Indian Ocean,,,,,,,
51484,Belida Marine Terminal,51480,KEPULAUAN ANAMBAS,ID,Indonesia,"4°08'00""N","105°08'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,"71450, 93110",XI,V,OR,P,Y,N,U,U,U,,23,,23,0,,,,U,U,U,U,Y,,,U,U,U,U,U,U,U,Y,Y,U,U,Y,Y,U,U,U,N,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,N,N,N,U,U,U,U,U,U,U,UNK,U,U,U,U,U,U,U,{18BE3EB1-A358-44C5-A5E3-62AA1A3F87FD},U,U,U,U,U,U,U,U,U,U,U,U,ID BET,"coa11b, gen11b",,,,South China Sea; North Pacific Ocean,,,,,,,
50790,Bengkalis,50515,SUMATERA,ID,Indonesia,"1°28'00""N","102°06'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,71275,XI,V,CN,G,U,U,U,U,U,8,9,5,,0,,,,Y,U,U,U,Y,,,U,U,Y,Y,U,U,U,Y,U,U,U,Y,U,U,U,U,Y,U,U,N,N,N,N,N,N,N,N,U,U,U,U,U,U,Y,U,N,U,U,U,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{EC88F02E-F14A-4A86-B676-00F52FCCA23A},U,U,U,U,U,U,U,U,U,U,U,U,ID BKI,"coa03f, gen03c",,,,Strait of Malacca; Indian Ocean,,,,,,,
50440,Bengkulu,50020,INDONESIA,ID,Indonesia,"3°47'00""S","102°15'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,,XI,V,OR,P,Y,Y,N,Y,U,2,11,9,9,3,,,,Y,U,U,U,Y,,,U,U,Y,Y,U,Y,U,Y,U,Y,U,Y,Y,U,U,U,Y,U,U,N,U,Y,U,U,Y,U,Y,Y,U,U,U,U,Y,Y,U,Y,U,U,N,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{F3F4E844-C13C-4AD2-9999-7194B44BDAC2},U,U,U,U,U,U,U,U,U,U,U,U,ID BKS,"coa03q, gen03c",,,,Indian Ocean,Benhoelen; Benkulen,,,,,,
51260,Benoa,51250,LESSER SUNDA ISLANDS,ID,Indonesia,"8°45'00""S","115°13'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72204,XI,V,CN,F,U,Y,U,Y,U,8,22,8,5,2,,,,U,Y,U,U,Y,,,U,U,Y,Y,Y,U,U,Y,Y,Y,U,Y,U,U,U,U,Y,N,U,U,U,Y,U,U,U,Y,U,Y,U,U,U,U,U,Y,Y,N,U,U,N,U,U,U,U,UNK,U,U,Y,U,U,U,U,{03505811-353F-4826-BD4E-D7CEAB84FDD8},U,U,U,U,U,U,U,U,U,U,U,U,ID BOA,"a0451260, coa04d, gen04c, h0451260",,,,Indian Ocean,Benoa Udjung,,,,,,
52065,Bitung,51970,SULAWESI,ID,Indonesia,"1°26'00""N","125°11'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,,XI,V,CN,E,U,U,U,Y,U,8,23,9,8,4,,,,U,U,U,N,Y,,,U,U,Y,Y,Y,U,U,Y,Y,Y,U,Y,U,U,U,U,Y,U,U,N,U,Y,U,U,U,Y,Y,Y,U,U,U,U,U,Y,U,Y,Y,Y,C,U,S,U,U,UNK,U,U,Y,U,U,U,U,{BB318557-75CE-4841-9F8C-7404BA00BCF3},U,U,U,U,U,U,U,U,U,U,U,U,ID BIT,"coa11j, gen11b, h1152065",,,,Molucca Sea; North Pacific Ocean,,,,,,,
50652,Blanglancang,50020,INDONESIA,ID,Indonesia,"5°14'00""N","97°06'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,71045,XI,S,TH,F,U,U,U,Y,U,14,22,6,14,0,,,,U,Y,U,Y,Y,,,U,U,Y,U,Y,Y,Y,Y,Y,Y,Y,Y,Y,U,U,U,Y,U,U,N,U,Y,U,U,U,Y,Y,U,U,U,U,U,U,U,U,U,U,U,N,U,S,Y,U,UNK,U,U,Y,U,U,U,U,{E5C782EB-94BA-4361-98F2-172CF8BDE777},U,U,U,U,U,U,U,U,U,U,U,U,ID BLL,"a0350650, coa03c, gen03c, h0350650",,,,Andaman Sea; Indian Ocean,,,,,,,
50180,Blinyu,50020,INDONESIA,ID,Indonesia,"1°38'00""S","105°47'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,71230,XI,V,CN,F,N,N,N,Y,N,,14,,,0,,,,Y,Y,U,U,U,,,Y,U,Y,U,U,U,Y,U,U,U,U,U,Y,U,U,U,Y,U,U,N,U,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,UNK,U,U,U,U,U,U,U,{A23E7DF3-8FBB-407B-B46C-DB1CEEC871BC},U,U,U,U,U,U,U,U,U,U,U,U,ID BLI,"coa04a, gen04c",,,,Natuna Sea; South China Sea; South Pacific Ocean,Belinjoe,,,,,,
51811,Bontang Lng Terminal,51760,INDONESIA - BORNEO,ID,Indonesia,"0°06'00""N","117°29'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72110,XI,V,CN,F,U,U,U,Y,U,13,22,13,13,8,,,,Y,Y,Y,N,Y,,,U,U,Y,U,U,U,U,Y,Y,Y,U,Y,U,U,U,U,N,N,U,N,N,Y,N,Y,U,U,U,Y,U,U,U,U,Y,Y,U,U,U,U,N,U,U,U,U,UNK,U,U,Y,U,U,U,U,{E81F02A6-E7B1-4436-B29E-63C43143E3D5},U,U,U,U,U,U,U,U,U,U,U,U,ID BXT,"a1151811, coa11j, gen11b, h1151811",,,,Makassar Strait; South Pacific Ocean,,,,,,,
52680,Bula,52650,SERAM,ID,Indonesia,"3°06'00""S","130°30'00""E",Sailing Directions Pub. 164 (Enroute) - New Guinea,,XI,V,OR,F,U,U,U,Y,U,11,22,9,,1,,,,U,U,U,U,U,,,U,U,Y,U,U,U,Y,Y,U,Y,U,Y,U,U,U,U,Y,N,U,N,U,Y,U,U,U,U,Y,N,U,U,U,U,N,Y,N,N,U,U,N,U,U,U,U,UNK,U,U,U,U,U,U,U,{DE398FD1-7BBC-4318-95A3-B06F7A892D63},U,U,U,U,U,U,U,U,U,U,U,U,ID BUA,"coa04f, gen04c",,,,Ceram Sea; Banda Sea; South Pacific Ocean,Boela,,,,,,
51205,Celukan Bawang,50920,JAWA,ID,Indonesia,"8°11'00""S","114°50'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72223,XI,S,CN,F,U,U,U,U,U,22,17,6,,1,,,,U,U,U,N,U,,,U,U,N,Y,Y,U,U,Y,Y,U,U,U,U,U,U,U,Y,U,U,U,U,Y,U,U,U,Y,U,Y,U,U,U,U,U,Y,Y,U,U,U,U,U,U,U,U,UNK,U,U,Y,U,U,U,U,{AB5E78E6-1915-4314-916F-E91AB60398F8},U,U,U,U,U,U,U,U,U,U,U,U,ID CEB,"coa04d, gen04c",,,,Bali Sea; Java Sea; South Pacific Ocean,,,,,,,
51220,Cilacap,50920,JAWA,ID,Indonesia,"7°44'00""S","109°00'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,,XI,L,CN,E,Y,Y,N,N,U,11,20,11,11,1,,,,Y,Y,Y,N,Y,,,U,N,Y,Y,Y,U,U,Y,U,Y,U,Y,U,U,U,U,Y,U,U,N,U,Y,U,U,U,Y,Y,Y,Y,U,N,N,Y,Y,Y,Y,N,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{CB2981DD-8798-4524-B3CC-3873A4808455},U,U,U,U,U,U,U,U,U,U,U,U,ID CXP,"coa04d, gen04c, h0451220",,,,Indian Ocean,Tjilatjap,,,,,,
50350,Cinta Oil Terminal,50020,INDONESIA,ID,Indonesia,"5°30'00""S","106°14'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,71180,XI,V,OR,P,N,N,N,Y,U,23,23,,23,0,,,,Y,Y,Y,N,Y,,,Y,N,Y,Y,U,U,U,Y,Y,Y,Y,Y,Y,U,U,U,Y,N,U,N,U,U,U,U,U,U,U,U,U,U,U,U,N,N,N,N,N,N,D,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{DA9A1BF8-72B4-4CF2-B9F4-1E01B60E7637},U,U,U,U,U,U,U,U,U,U,U,U,,"coa04a, gen04c",,,,"Indian Ocean, Java Sea; South Pacific Ocean",,,,,,,
50100,Dabo,50020,INDONESIA,ID,Indonesia,"0°30'00""S","104°34'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,"71230, 71430",XI,V,OR,P,Y,Y,N,Y,N,2,3,2,,0,,,,Y,U,U,U,N,,,N,U,Y,U,U,U,U,Y,U,Y,Y,U,Y,U,U,U,Y,U,U,N,U,Y,U,U,U,U,Y,Y,U,U,U,U,Y,Y,U,Y,U,U,C,U,S,U,U,UNK,U,U,U,U,U,U,U,{FEE60FE6-55B8-4F51-B1BB-BD290115AF4D},U,U,U,U,U,U,U,U,U,U,U,U,ID DAS,"coa03f, gen03c",,,,Natuna Sea; South China Sea; South Pacific Ocean,Dabok,,,,,,
52350,Donggala,51970,SULAWESI,ID,Indonesia,"0°39'00""S","119°44'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72171,XI,V,OR,F,U,Y,U,U,U,23,23,2,2,4,,,,U,U,Y,U,N,,,U,U,U,Y,Y,U,U,Y,Y,Y,U,U,Y,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,Y,Y,N,N,U,U,D,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{223FA1C6-259E-4B31-B93F-18D5E91E7CF1},U,U,U,U,U,U,U,U,U,U,U,U,,"coa04c, gen04c",,,,Makassar Strait; South Pacific Ocean,,,,,,,
50785,Dumai,50515,SUMATERA,ID,Indonesia,"1°41'00""N","101°27'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,,XI,M,RN,F,N,N,N,Y,U,17,14,9,17,2,,,,Y,Y,Y,N,Y,,,Y,U,Y,Y,U,Y,Y,Y,U,Y,U,Y,U,U,U,U,Y,U,U,N,Y,Y,U,U,U,Y,Y,Y,Y,U,U,U,Y,Y,U,Y,U,U,N,U,U,Y,U,UNK,U,U,Y,U,U,U,U,{6665BA4D-F05B-43A5-BFDC-CAE7FDF04FB7},U,U,U,U,U,U,U,U,U,U,U,U,ID DUM,"a0350785, gen03c, h0350785",,,,Strait of Malacca; Indian Ocean,Doemai,,,,,,
51340,Ende,51250,LESSER SUNDA ISLANDS,ID,Indonesia,"8°50'00""S","121°39'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,,XI,V,CN,F,U,Y,U,U,U,5,23,5,6,2,,,,Y,U,U,U,U,,,U,U,U,Y,Y,U,U,Y,Y,Y,U,U,Y,U,U,U,Y,U,U,U,U,Y,U,U,U,U,Y,U,U,U,U,U,U,Y,U,U,U,U,D,U,U,U,U,UNK,U,U,Y,U,U,U,U,{495B22C5-E128-4DA6-9E9D-635913D0C8FF},U,U,U,U,U,U,U,U,U,U,U,U,ID ENE,"coa04g, gen04c",,,,Savu Sea; Indian Ocean,,,,,,,
53100,Fakfak,52900,NEW GUINEA WEST COAST - IRIAN JAYA,ID,Indonesia,"2°56'00""S","132°17'00""E",Sailing Directions Pub. 164 (Enroute) - New Guinea,73471,XI,V,CN,F,U,U,U,U,U,2,23,2,,1,,,,U,U,U,U,Y,,,U,N,N,U,U,U,Y,U,Y,Y,U,U,Y,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,Y,Y,N,N,U,U,N,U,U,U,U,UNK,U,U,U,U,U,U,U,{A69F3700-27D7-43AF-8C57-8F78C4EB5844},U,U,U,U,U,U,U,U,U,U,U,U,ID FKQ,"coa05h, gen05a",,,,Ceram Sea; Banda Sea; South Pacific Ocean,,,,,,,
52090,Gorontalo,51970,SULAWESI,ID,Indonesia,"0°30'00""N","123°03'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,,XI,V,OR,P,U,Y,U,Y,U,9,23,9,8,2,,,,Y,U,U,U,Y,,,U,U,Y,Y,Y,U,U,Y,Y,Y,U,U,Y,U,Y,U,N,U,U,N,U,U,U,U,U,U,U,Y,U,U,U,U,U,Y,U,U,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{730A08D8-6818-43C3-B4C1-C156788513C6},U,U,U,U,U,U,U,U,U,U,U,U,ID GTO,"coa11j, gen11b",,,,Teluk Tomini; Molucca Sea; South Pacific Ocean,,,,,,,
51120,Gresik,50920,JAWA,ID,Indonesia,"7°09'00""S","112°39'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,72234,XI,S,OR,G,U,U,U,Y,U,14,20,20,8,0,,,,U,U,U,U,Y,,,Y,U,Y,Y,Y,U,U,Y,Y,Y,Y,Y,U,U,U,U,Y,Y,U,N,U,Y,U,U,U,U,Y,U,U,U,U,U,U,Y,N,U,U,U,C,U,M,U,U,UNK,U,U,Y,U,U,U,U,{293A0BFC-CA6C-4ED9-B328-700F53B8D3E5},U,U,U,U,U,U,U,U,U,U,U,U,ID GRE,"a0451130, coa04d, gen04c, h0451130",,,,Bali Sea; Java Sea; South Pacific Ocean,,,,,,,
51850,Gunung Batu Besar,51760,INDONESIA - BORNEO,ID,Indonesia,"2°37'00""S","116°18'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,,XI,V,RN,G,U,U,U,U,U,5,9,6,,1,,,,U,U,U,U,U,,,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,U,D,U,U,U,U,UNK,U,U,U,U,U,U,U,{0FB2612D-BFFB-462C-87D7-429D242BF2DE},U,U,U,U,U,U,U,U,U,U,U,U,ID BTH,"coa04c, gen04c",,,,Makassar Strait; South Pacific Ocean,,,,,,,
50517,Jabung Batanghari Marine Terminal,50515,SUMATERA,ID,Indonesia,"0°55'00""S","104°04'00""E",Sailing Directions Pub. 174 (Enroute) - Strait of Malacca and Sumatera,71230,XI,V,OR,P,U,U,U,Y,Y,13,14,11,13,0,,,,U,U,U,U,U,,,U,U,Y,U,U,U,U,Y,U,U,U,U,U,U,U,U,U,U,U,Y,U,U,U,U,U,U,U,Y,U,U,U,U,U,N,N,N,U,U,U,S,U,U,U,UNK,U,U,Y,U,U,U,U,{C91246F2-84A5-435B-95D7-5331C6F6BB66},U,U,U,U,U,U,U,U,U,U,U,U,ID JBT,"coa03f, gen03c",,,,Natuna Sea; South China Sea; South Pacific Ocean,,,,,,,
50970,Jakarta,50920,JAWA,ID,Indonesia,"6°06'00""S","106°53'00""E",Sailing Directions Pub. 163 (Enroute) - Borneo Jawa Sulawesi and Nusa Tenggara,71186,XI,L,CB,E,Y,Y,N,Y,U,11,,11,22,0,,,,Y,Y,Y,Y,Y,,,U,U,Y,Y,Y,U,U,Y,Y,Y,Y,Y,Y,Y,U,U,Y,Y,U,Y,U,Y,Y,Y,U,Y,U,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,A,M,M,U,U,UNK,U,U,Y,U,U,U,U,{3293F1BB-0C53-4794-A29F-083117054888},U,U,U,U,U,U,U,U,U,U,U,U,ID JKT,"a0450970, coa04a, gen04c, h0450970",,,,Java Sea; South Pacific Ocean,Batavia; Djakarta; Jakarta; Tandjoenpriok,,,,,,
53133,Jayapura,52900,NEW GUINEA WEST COAST - IRIAN JAYA,ID,Indonesia,"2°32'00""S","140°43'00""E",Sailing Directions Pub. 164 (Enroute) - New Guinea,73701,XI,S,CN,G,U,Y,U,U,U,3,23,11,9,1,,,,Y,U,U,U,Y,,,Y,N,Y,Y,Y,U,U,Y,Y,Y,U,U,U,U,U,U,Y,U,U,U,U,Y,U,N,N,Y,U,Y,U,U,U,U,Y,Y,Y,U,U,U,C,U,U,U,U,UNK,U,U,Y,U,U,U,U,{BA0B0DC4-2991-45F1-A38F-6CDBA03E1446},U,U,U,U,U,U,U,U,U,U,U,U,ID DJJ,"coa05h, gen05a",,,,South Pacific Ocean,,,,,,,
53045,Kasim Terminal,52900,NEW GUINEA WEST COAST - IRIAN JAYA,ID,Indonesia,"1°18'00""S","131°01'00""E",Sailing Directions Pub. 164 (Enroute) - New Guinea,,XI,L,OR,P,Y,Y,U,Y,Y,16,23,6,5,1,,,,Y,U,U,U,Y,,,U,U,Y,Y,Y,U,U,Y,Y,Y,U,Y,U,U,U,U,U,N,U,N,Y,Y,U,U,Y,Y,U,Y,U,U,U,U,U,Y,N,N,U,U,N,U,U,U,U,UNK,U,U,Y,U,U,U,U,{CFDEEAF1-6957-419D-B75F-06A69F1E2526},U,U,U,U,U,U,U,U,U,U,U,U,ID KAS,"a0453020, coa04f, gen04c",,,,South Pacific Ocean,,,,,,,
